place	date	cases	daily_cases	r_est	pis	nom	smooth_pis	scenario_dates	scenario
India	2020-03-27	883	153	2.302287764595493	0.7331954916021961	1	0.8414416360638447	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-03-28	1019	136	2.149619529120384	0.6845761731648767	2	0.8249275049405203	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-03-29	1139	120	2.031080539341894	0.6468257866922553	3	0.8086758837823391	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-03-30	1326	187	2.100973838806396	0.6690842779411018	4	0.7927006611679551	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-03-31	1635	309	2.5143470522764213	0.8007287148903577	5	0.7770157256760208	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-01	2059	424	2.865440916197179	0.9125394286136801	6	0.7616349658851902	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-02	2545	486	3.1735955799789237	1.0106755581086229	7	0.746572270374116	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-03	3105	560	3.3951868703397583	1.0812443799428573	8	0.7318415277214521	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-04	3684	579	3.306938804648148	1.0531405586470552	9	0.7174566265058513	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-05	4293	609	2.9927572631806925	0.9530850863073324	10	0.7034314553059673	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-06	4777	484	2.472984898442255	0.78755636294525	11	0.6897799027004532	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-07	5350	573	2.109484706776588	0.6717946819667526	12	0.6765158572679622	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-08	5915	565	1.804440101657766	0.5746489938168663	13	0.6636532075871476	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-09	6728	813	1.7196637421117715	0.5476507855262138	14	0.6511809795912848	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-10	7599	871	1.6830042037484485	0.5359760467444054	15	0.6390703407587369	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-11	8453	854	1.7074445311632582	0.5437594082118057	16	0.6273083919857878	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-12	9211	758	1.6449172036548565	0.5238467129631521	17	0.6158822341687228	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-13	10454	1243	1.7769713075907838	0.565901175112631	18	0.6047789682038258	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-14	11485	1031	1.7129639004815558	0.5455171279733814	19	0.5939856949873821	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-15	12371	886	1.5733862939796457	0.5010667020146583	20	0.5834895154156758	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-16	13432	1061	1.5092611376684462	0.4806451560078245	21	0.5732775303849916	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-17	14354	922	1.4471974714260256	0.4608801201243795	22	0.5633368407916143	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-18	15725	1371	1.3879103987977852	0.44199932901312794	23	0.5536545475318282	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-19	17305	1580	1.4442515454089042	0.4599419490983408	24	0.5442177515019182	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-20	18544	1239	1.4501815332246315	0.4618304360193105	25	0.5350135535981686	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-21	20081	1537	1.4768639989849597	0.47032783756100693	26	0.5261138364058662	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-22	21373	1292	1.4718962833144842	0.468745799559865	27	0.5175873602457989	Mar 27 - Oct 12, 2020	India lockdown - 200 days
India	2020-04-23	23040	1667	1.4457378519022404	0.4604152840292783	28	0.5094165426175035	Mar 27 - Oct 12, 2020	India lockdown - 200 days
